label	replace by
department of precision engineering, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
department of preventive environment and nutrition, tokushima university, tokushima, japan	TOKUSHIMA UNIVERSITY
department of protozoology, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of public health, fukushima medical university, fukushima, japan	FUKUSHIMA MEDICAL UNIVERSITY
department of public health, international university of health and welfare, otawara, japan	INTERNATIONAL UNIVERSITY OF HEALTH AND WELFARE
department of public health, kanazawa medical university, kahoku, japan	KANAZAWA MEDICAL UNIVERSITY
department of public health, kanazawa university school of medicine, kanazawa, japan	KANAZAWA UNIVERSITY
department of public health, kanazawa university, kanazawa, japan	KANAZAWA UNIVERSITY
department of public health, okayama university of science, okayama, japan	UNIVERSITY OF SCIENCE
department of respiratory diseases, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
department of science of technology innovation, nagaoka university of technology, nagaoka, japan	NAGAOKA UNIVERSITY OF TECHNOLOGY
department of soil sciences, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of surgery, graduate school of medicine, kyoto, japan	GRADUATE SCHOOL OF MEDICINE
department of surgery, hanoi medical university, hanoi, viet nam	HANOI MEDICAL UNIVERSITY
department of urban engineering, the university of tokyo, tokyo, japan	THE UNIVERSITY OF TOKYO
department of urban management, kyoto university, kyoto, japan	KYOTO UNIVERSITY
department of vector ecology and environment, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of vertebrate zoology, vietnamese academy of science and technology institute of ecology and biological resources, hanoi, viet nam	VIETNAMESE ACADEMY OF SCIENCE AND TECHNOLOGY INSTITUTE OF ECOLOGY AND BIOLOGICAL RESOURCES
department of veterinary clinical sciences, university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
department of veterinary medicine, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of veterinary pathology, university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
department of veterinary pharmacology, kagoshima university, kagoshima, japan	KAGOSHIMA UNIVERSITY
department of veterinary public health, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
department of veterinary science, university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
department of virology and parasitology, fujita health university school of medicine, toyoake, japan	SCHOOL OF MEDICINE
